"wktLabel","farm","sta","dst"
"Roundhill Farm","http://linkedgeodata.org/triplify/way592647500","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_5602","1.606247e0"
"The Beehives","http://linkedgeodata.org/triplify/way1006800902","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_3602","4.327597e0"
"Knockskagh Piggery","http://linkedgeodata.org/triplify/way883894981","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_2302","3.537576e0"
"Church Farm","http://linkedgeodata.org/triplify/way203254903","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_3705","1.831454e0"
"Ballyglissane House","http://linkedgeodata.org/triplify/way1023389563","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_7006","2.150863e0"
"Moorepark Research Farm","http://linkedgeodata.org/triplify/way403354678","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_3606","0.553384e0"
"Kings Yard","http://linkedgeodata.org/triplify/way75588389","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_3206","1.167129e0"
"Sorrellhill House","http://linkedgeodata.org/triplify/way948837281","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_3706","1.459696e0"
"Windmill Farm","http://linkedgeodata.org/triplify/way368605711","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_9006","6.942787e0"
"Newtown House","http://linkedgeodata.org/triplify/way948837242","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_3706","2.096029e0"
"Knockhouse Farm","http://linkedgeodata.org/triplify/way368620292","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_106","6.625e0"
"Castleshane Stud","http://linkedgeodata.org/triplify/way856460099","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_6211","0.899939e0"
"Lisaleen Stables","http://linkedgeodata.org/triplify/way856890216","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_2811","2.970366e0"
"Cooperhill","http://linkedgeodata.org/triplify/way302558225","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_511","5.879663e0"
"Cloughjordan Community Farm","http://linkedgeodata.org/triplify/way629652823","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_7019","0.186662e0"
"Woodlands","http://linkedgeodata.org/triplify/way1075866358","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_3419","3.695938e0"
"Glenard House","http://linkedgeodata.org/triplify/way230199188","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_1918","2.350955e0"
"Manus House","http://linkedgeodata.org/triplify/way230199189","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_1918","2.113728e0"
"Bungraggy","http://linkedgeodata.org/triplify/way230320494","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_1918","4.998161e0"
"Hempfield Cottage","http://linkedgeodata.org/triplify/way230320496","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_618","4.604673e0"
"Moyriesk House","http://linkedgeodata.org/triplify/way230829785","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_1418","2.880557e0"
"Pig Farm","http://linkedgeodata.org/triplify/way207645669","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_2518","4.546189e0"
"Doonmore Farm","http://linkedgeodata.org/triplify/way704648854","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_1917","2.548768e0"
"Upton Farm","http://linkedgeodata.org/triplify/way1073340076","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_3319","2.380339e0"
"The Rye Garden","http://linkedgeodata.org/triplify/way400249505","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_2035","1.497738e0"
"Clos Na Feirme farmyard","http://linkedgeodata.org/triplify/way901174565","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_6027","3.095876e0"
"Annaghcor Farm","http://linkedgeodata.org/triplify/way992376788","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_3636","1.283129e0"
